"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Biomass","8659.54",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Energy storage","n/e",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Fossil Brown coal/Lignite","18363.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Fossil Coal-derived gas","1257.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Fossil Gas","36327.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Fossil Hard coal","18411.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Fossil Oil","4118.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Fossil Oil shale","0.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Fossil Peat","0.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Geothermal","54.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Hydro Pumped Storage","9449.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Hydro Run-of-river and poundage","3752.80",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Hydro Water Reservoir","1392.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Marine","0.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Nuclear","n/e",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Other","1630.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Other renewable","356.45",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Solar","77015.56",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Waste","1832.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Wind Offshore","8456.00",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","Wind Onshore","60048.62",""
"01/01/2024 - 01/01/2025","2024","BZN|DE-LU","","","251121.97"
