"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Biomass","8378.89",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Energy storage","n/e",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Fossil Brown coal/Lignite","18544.29",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Fossil Coal-derived gas","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Fossil Gas","30648.72",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Fossil Hard coal","18829.51",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Fossil Oil","3966.28",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Fossil Oil shale","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Fossil Peat","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Geothermal","50.90",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Hydro Pumped Storage","9379.24",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Hydro Run-of-river and poundage","3684.53",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Hydro Water Reservoir","1309.00",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Marine","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Nuclear","4056.00",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Other","1678.83",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Other renewable","352.43",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Solar","58002.29",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Waste","1619.50",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Wind Offshore","7786.82",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","Wind Onshore","55456.32",""
"01/01/2022 - 01/01/2023","2022","BZN|DE-LU","","","223743.55"
